num_itr,sup_err
490,0.2468730509281159
700,0.21782237291336065
970,0.19266780465841296
1330,0.1713241189718247
1820,0.15712156891822815
2430,0.14260300993919375
3400,0.12104111537337311
4660,0.10875639319419869
6120,0.10317988693714149
7650,0.09213395416736611
9780,0.07965258136391648
12010,0.07303078100085264
14440,0.06687979400157931
17960,0.06031708046793943
20820,0.053832858800888124
25470,0.051218695938587265
29390,0.04417747631669054
34860,0.04124440252780921
41150,0.03810144402086739
47620,0.03474319539964206
55220,0.03125177696347246
63940,0.028562301769852687
74030,0.02460167557001115
84840,0.024293002672493534
96890,0.021447615697979962
110570,0.020597774535417605
124900,0.01755860447883608
141670,0.01655270252376799
159980,0.013083646073937447
180380,0.012184390798211188
