num_grad,num_itr,sup_err
1,20,0.015436503
2,40,0.013547914673568924
3,60,0.004851891
4,80,0.002435709
5,100,0.001552797
6,120,0.001008722
7,140,0.000632817
8,160,0.000467601
9,180,0.000436226
10,200,0.000415287
11,220,0.000366973
12,240,0.000327325
13,260,0.000298849
14,280,0.000284961
15,300,0.000266323
16,320,0.000264479
17,340,0.000249537
18,360,0.000198002
19,380,0.000157511
20,389,0.00015484
21,394,0.000154755
22,398,0.000154699
23,401,0.000154639
24,405,0.000154587
25,407,0.000154557
26,410,0.000154498
27,413,0.000154405
28,417,0.000154233
29,420,0.000154088
30,424,0.000153741
31,426,0.000153622
32,429,0.000153298
33,432,0.000152944
34,434,0.000152777
35,436,0.000152553
36,438,0.000152367
37,443,0.000151465
38,445,0.000151175
39,449,0.000150363
40,452,0.000149718
41,454,0.000149364
42,457,0.000148582
43,461,0.000147256
44,463,0.000146853
45,483,0.000124539
46,503,0.000100403
47,506,9.860341716023263e-05
48,509,9.669606852742013e-05
49,513,9.434541034909066e-05
50,518,9.17600588819581e-05
51,522,9.02624921819764e-05
52,525,8.950625825138864e-05
53,527,8.911137747975167e-05
54,530,8.844827580662545e-05
55,532,8.819123077603158e-05
56,534,8.794163632603463e-05
57,536,8.772556948872384e-05
58,538,8.756165671559152e-05
59,540,8.737166691036996e-05
60,542,8.722638058872995e-05
61,544,8.708854484768686e-05
62,546,8.696933555813607e-05
63,548,8.68687527200776e-05
64,550,8.677189517231759e-05
65,552,8.66824882051545e-05
66,554,8.662288356037912e-05
67,556,8.654465246411142e-05
68,558,8.648877310963449e-05
69,560,8.643661904545602e-05
70,562,8.63993661424714e-05
71,563,8.63993661424714e-05
72,564,8.63993661424714e-05
73,565,8.63993661424714e-05
74,566,8.63993661424714e-05
75,567,8.63993661424714e-05
76,568,8.63993661424714e-05
77,569,8.63993661424714e-05
78,570,8.63993661424714e-05
79,571,8.63993661424714e-05
80,572,8.63993661424714e-05
81,573,8.63993661424714e-05
82,574,8.63993661424714e-05
83,575,8.63993661424714e-05
84,576,8.63993661424714e-05
85,577,8.63993661424714e-05
86,578,8.63993661424714e-05
87,579,8.63993661424714e-05
88,580,8.63993661424714e-05
89,581,8.63993661424714e-05
90,582,8.63993661424714e-05
91,583,8.63993661424714e-05
92,584,8.63993661424714e-05
93,585,8.63993661424714e-05
94,586,8.63993661424714e-05
95,587,8.63993661424714e-05
96,588,8.63993661424714e-05
97,589,8.63993661424714e-05
98,590,8.63993661424714e-05
99,591,8.63993661424714e-05
100,592,8.63993661424714e-05
101,593,8.63993661424714e-05
102,594,8.63993661424714e-05
103,595,8.63993661424714e-05
104,596,8.63993661424714e-05
105,597,8.63993661424714e-05
106,598,8.63993661424714e-05
107,599,8.63993661424714e-05
108,600,8.63993661424714e-05
109,601,8.63993661424714e-05
110,602,8.63993661424714e-05
111,603,8.63993661424714e-05
112,604,8.63993661424714e-05
113,605,8.63993661424714e-05
114,606,8.63993661424714e-05
115,607,8.63993661424714e-05
116,608,8.63993661424714e-05
117,609,8.63993661424714e-05
118,610,8.63993661424714e-05
119,611,8.63993661424714e-05
120,612,8.63993661424714e-05
121,613,8.63993661424714e-05
122,614,8.63993661424714e-05
123,615,8.63993661424714e-05
124,616,8.63993661424714e-05
125,617,8.63993661424714e-05
126,618,8.63993661424714e-05
127,619,8.63993661424714e-05
128,620,8.63993661424714e-05
129,621,8.63993661424714e-05
130,622,8.63993661424714e-05
131,623,8.63993661424714e-05
132,624,8.63993661424714e-05
133,625,8.63993661424714e-05
134,626,8.63993661424714e-05
135,627,8.63993661424714e-05
136,628,8.63993661424714e-05
137,629,8.63993661424714e-05
138,630,8.63993661424714e-05
139,631,8.63993661424714e-05
140,632,8.63993661424714e-05
141,633,8.63993661424714e-05
142,634,8.63993661424714e-05
143,635,8.63993661424714e-05
144,636,8.63993661424714e-05
145,637,8.63993661424714e-05
146,638,8.63993661424714e-05
147,639,8.63993661424714e-05
148,640,8.63993661424714e-05
149,641,8.63993661424714e-05
150,642,8.63993661424714e-05
151,643,8.63993661424714e-05
152,644,8.63993661424714e-05
153,645,8.63993661424714e-05
154,646,8.63993661424714e-05
155,647,8.63993661424714e-05
156,648,8.63993661424714e-05
157,649,8.63993661424714e-05
158,650,8.63993661424714e-05
159,651,8.63993661424714e-05
160,652,8.63993661424714e-05
161,653,8.63993661424714e-05
162,654,8.63993661424714e-05
163,655,8.63993661424714e-05
164,656,8.63993661424714e-05
165,657,8.63993661424714e-05
166,658,8.63993661424714e-05
167,659,8.63993661424714e-05
168,660,8.63993661424714e-05
169,661,8.63993661424714e-05
