num_grad,num_itr,sup_err
1,20,0.008663463
2,40,0.006505592
3,60,0.002606514
4,80,0.001291359
5,100,0.00085074
6,120,0.000808808
7,129,0.00080021
8,131,0.000799409
9,134,0.000798205
10,136,0.000797703
11,138,0.000797244
12,140,0.000796842
13,142,0.000796481
14,144,0.000796145
15,146,0.000795866
16,148,0.000795616
17,150,0.000795378
18,152,0.000795169
19,153,0.000795169
20,154,0.000795169
21,155,0.000795169
22,156,0.000795169
23,157,0.000795169
24,158,0.000795169
25,159,0.000795169
26,160,0.000795169
27,161,0.000795169
28,162,0.000795169
29,163,0.000795169
30,164,0.000795169
31,165,0.000795169
32,166,0.000795169
33,167,0.000795169
34,168,0.000795169
35,169,0.000795169
36,170,0.000795169
37,171,0.000795169
38,172,0.000795169
39,173,0.000795169
40,174,0.000795169
41,175,0.000795169
42,176,0.000795169
43,177,0.000795169
44,178,0.000795169
45,179,0.000795169
46,180,0.000795169
47,181,0.000795169
48,182,0.000795169
49,183,0.000795169
50,184,0.000795169
51,185,0.000795169
52,186,0.000795169
53,187,0.000795169
54,188,0.000795169
55,189,0.000795169
56,190,0.000795169
57,191,0.000795169
58,192,0.000795169
59,193,0.000795169
60,194,0.000795169
61,195,0.000795169
62,196,0.000795169
63,197,0.000795169
64,198,0.000795169
65,199,0.000795169
66,200,0.000795169
67,201,0.000795169
68,202,0.000795169
69,203,0.000795169
70,204,0.000795169
71,205,0.000795169
72,206,0.000795169
73,207,0.000795169
74,208,0.000795169
75,209,0.000795169
76,210,0.000795169
77,211,0.000795169
78,212,0.000795169
79,213,0.000795169
80,214,0.000795169
81,215,0.000795169
82,216,0.000795169
83,217,0.000795169
84,218,0.000795169
85,219,0.000795169
86,220,0.000795169
87,221,0.000795169
88,222,0.000795169
89,223,0.000795169
90,224,0.000795169
91,225,0.000795169
92,226,0.000795169
93,227,0.000795169
94,228,0.000795169
95,229,0.000795169
96,230,0.000795169
97,231,0.000795169
98,232,0.000795169
99,233,0.000795169
100,234,0.000795169
101,235,0.000795169
102,236,0.000795169
103,237,0.000795169
104,238,0.000795169
105,239,0.000795169
106,240,0.000795169
107,241,0.000795169
108,242,0.000795169
109,243,0.000795169
110,244,0.000795169
111,245,0.000795169
112,246,0.000795169
113,247,0.000795169
114,248,0.000795169
115,249,0.000795169
116,250,0.000795169
117,251,0.000795169
118,252,0.000795169
119,253,0.000795169
120,254,0.000795169
121,255,0.000795169
122,256,0.000795169
