,num_itr,sup_err
0,20,0.006884905
1,40,0.004345587
2,60,0.001485492
3,80,0.000722388
4,100,0.000446832
5,120,0.000273487
6,140,0.000164776
7,160,9.267648029537973e-05
8,180,7.343163061352548e-05
9,200,6.903951335163888e-05
10,209,6.745999026509103e-05
11,218,6.535147595616159e-05
12,229,6.237869429798898e-05
13,239,6.0583104374130337e-05
14,242,6.0273905279358e-05
15,246,5.988647508831796e-05
16,248,5.975236463757333e-05
17,250,5.964060592861947e-05
18,252,5.9547473671157924e-05
19,255,5.9372385027130214e-05
20,257,5.932023096295175e-05
21,259,5.924199986668405e-05
22,261,5.917494464131173e-05
23,265,5.904828477116403e-05
24,267,5.899985599728402e-05
25,269,5.8962603094299404e-05
26,270,5.8962603094299404e-05
27,271,5.8962603094299404e-05
28,272,5.8962603094299404e-05
29,273,5.8962603094299404e-05
30,274,5.8962603094299404e-05
31,275,5.8962603094299404e-05
32,276,5.8962603094299404e-05
33,277,5.8962603094299404e-05
34,278,5.8962603094299404e-05
35,279,5.8962603094299404e-05
36,280,5.8962603094299404e-05
37,281,5.8962603094299404e-05
38,282,5.8962603094299404e-05
39,283,5.8962603094299404e-05
40,284,5.8962603094299404e-05
41,285,5.8962603094299404e-05
42,286,5.8962603094299404e-05
43,287,5.8962603094299404e-05
44,288,5.8962603094299404e-05
45,289,5.8962603094299404e-05
46,290,5.8962603094299404e-05
47,291,5.8962603094299404e-05
48,292,5.8962603094299404e-05
49,293,5.8962603094299404e-05
50,294,5.8962603094299404e-05
51,295,5.8962603094299404e-05
52,296,5.8962603094299404e-05
53,297,5.8962603094299404e-05
54,298,5.8962603094299404e-05
55,299,5.8962603094299404e-05
56,300,5.8962603094299404e-05
57,301,5.8962603094299404e-05
58,302,5.8962603094299404e-05
59,303,5.8962603094299404e-05
60,304,5.8962603094299404e-05
61,305,5.8962603094299404e-05
62,306,5.8962603094299404e-05
63,307,5.8962603094299404e-05
64,308,5.8962603094299404e-05
65,309,5.8962603094299404e-05
66,310,5.8962603094299404e-05
67,311,5.8962603094299404e-05
68,312,5.8962603094299404e-05
69,313,5.8962603094299404e-05
70,314,5.8962603094299404e-05
71,315,5.8962603094299404e-05
72,316,5.8962603094299404e-05
73,317,5.8962603094299404e-05
74,318,5.8962603094299404e-05
75,319,5.8962603094299404e-05
76,320,5.8962603094299404e-05
77,321,5.8962603094299404e-05
78,322,5.8962603094299404e-05
79,323,5.8962603094299404e-05
80,324,5.8962603094299404e-05
81,325,5.8962603094299404e-05
82,326,5.8962603094299404e-05
83,327,5.8962603094299404e-05
84,328,5.8962603094299404e-05
85,329,5.8962603094299404e-05
86,330,5.8962603094299404e-05
87,331,5.8962603094299404e-05
88,332,5.8962603094299404e-05
89,333,5.8962603094299404e-05
90,334,5.8962603094299404e-05
91,335,5.8962603094299404e-05
92,336,5.8962603094299404e-05
93,337,5.8962603094299404e-05
94,338,5.8962603094299404e-05
95,339,5.8962603094299404e-05
96,340,5.8962603094299404e-05
97,341,5.8962603094299404e-05
98,342,5.8962603094299404e-05
99,343,5.8962603094299404e-05
100,344,5.8962603094299404e-05
101,345,5.8962603094299404e-05
102,346,5.8962603094299404e-05
103,347,5.8962603094299404e-05
104,348,5.8962603094299404e-05
105,349,5.8962603094299404e-05
106,350,5.8962603094299404e-05
107,351,5.8962603094299404e-05
108,352,5.8962603094299404e-05
109,353,5.8962603094299404e-05
110,354,5.8962603094299404e-05
111,355,5.8962603094299404e-05
112,356,5.8962603094299404e-05
113,357,5.8962603094299404e-05
114,358,5.8962603094299404e-05
115,359,5.8962603094299404e-05
116,360,5.8962603094299404e-05
117,361,5.8962603094299404e-05
118,362,5.8962603094299404e-05
119,363,5.8962603094299404e-05
120,364,5.8962603094299404e-05
121,365,5.8962603094299404e-05
122,366,5.8962603094299404e-05
123,367,5.8962603094299404e-05
124,368,5.8962603094299404e-05
125,369,5.8962603094299404e-05
126,370,5.8962603094299404e-05
127,371,5.8962603094299404e-05
128,372,5.8962603094299404e-05
129,373,5.8962603094299404e-05
130,374,5.8962603094299404e-05
131,375,5.8962603094299404e-05
132,376,5.8962603094299404e-05
133,377,5.8962603094299404e-05
134,378,5.8962603094299404e-05
135,379,5.8962603094299404e-05
136,380,5.8962603094299404e-05
137,381,5.8962603094299404e-05
138,382,5.8962603094299404e-05
139,383,5.8962603094299404e-05
140,384,5.8962603094299404e-05
141,385,5.8962603094299404e-05
142,386,5.8962603094299404e-05
143,387,5.8962603094299404e-05
144,388,5.8962603094299404e-05
145,389,5.8962603094299404e-05
146,390,5.8962603094299404e-05
147,391,5.8962603094299404e-05
148,392,5.8962603094299404e-05
149,393,5.8962603094299404e-05
150,394,5.8962603094299404e-05
151,395,5.8962603094299404e-05
152,396,5.8962603094299404e-05
153,397,5.8962603094299404e-05
154,398,5.8962603094299404e-05
155,399,5.8962603094299404e-05
156,400,5.8962603094299404e-05
157,401,5.8962603094299404e-05
158,402,5.8962603094299404e-05
159,403,5.8962603094299404e-05
160,404,5.8962603094299404e-05
161,405,5.8962603094299404e-05
162,406,5.8962603094299404e-05
