num_grad_call,num_itr,sup_err
1.0,20.0,0.006372387160541733
2.0,40.0,0.004795613338234146
3.0,60.0,0.0035149255888483125
4.0,80.0,0.003219174792053421
5.0,86.0,0.003206914861681183
6.0,106.0,0.0023326823608896333
7.0,126.0,0.001775267173530777
8.0,146.0,0.0010654764370939332
9.0,166.0,0.0007943535344621735
10.0,186.0,0.0007985631124994355
11.0,189.0,0.0007985929148218232
12.0,209.0,0.0007872531311533051
13.0,229.0,0.0007687943177244264
14.0,249.0,0.0005939403669855195
15.0,269.0,0.0004995303349515992
16.0,289.0,0.00042410065698834237
17.0,309.0,0.00035108496713848886
18.0,329.0,0.0002973998086473542
19.0,349.0,0.00022218992281170663
20.0,369.0,0.00018605460691662606
21.0,371.0,0.00018472467828007516
22.0,378.0,0.0001808876292726594
23.0,380.0,0.00018062685895176706
24.0,383.0,0.00018010159301968393
25.0,385.0,0.00017995258140774545
26.0,387.0,0.00017982219624729928
27.0,389.0,0.00017971788811894235
28.0,409.0,0.00017977376747341928
29.0,429.0,0.0001808466510793763
30.0,431.0,0.00018089135456295785
31.0,438.0,0.00018126015830250558
32.0,442.0,0.0001815507309457856
33.0,462.0,0.0001825006799718934
34.0,482.0,0.00017237534094067392
35.0,502.0,0.00015418847370358285
36.0,522.0,0.00013613571691723642
37.0,524.0,0.000135148514988144
38.0,533.0,0.00012902041244717416
39.0,536.0,0.00012785812187405404
40.0,538.0,0.00012730677890988168
41.0,544.0,0.00012493376898976144
42.0,546.0,0.00012459849286289987
43.0,548.0,0.000124293019058426
44.0,550.0,0.00012402479815693673
45.0,552.0,0.0001238124566099244
46.0,554.0,0.00012359266448231515
47.0,556.0,0.00012339894938679513
48.0,558.0,0.00012323876190396127
49.0,561.0,0.00012295936513157663
50.0,563.0,0.00012284015584202584
51.0,565.0,0.000122728397133072
52.0,566.0,0.000122728397133072
