num_itr,sup_err
11.0,0.023149043321609497
11.0,0.01917821168899536
13.0,0.014810055494308527
14.0,0.012060284614562988
16.0,0.007740497589111328
22.0,0.005504786968231201
29.0,0.003651440143585205
31.0,0.0027672648429870605
34.0,0.0020253062248230536
48.0,0.0016486048698425293
53.0,0.0011616051197052557
67.0,0.0009136497974395752
78.0,0.0007096529006958563
94.0,0.0005096793174744207
109.0,0.00044867396354680844
134.0,0.0003280341625214178
153.0,0.00025293231010442563
179.0,0.0001539289951324463
208.0,0.00011044740676885434
266.0,8.302927017217465e-05
301.0,7.301568984985352e-05
378.0,6.276369094854184e-05
446.0,2.595782279973813e-05
515.0,1.9729137420654297e-05
