num_itr,sup_err
1340,0.19952026009559634
2090,0.2055527567863465
3070,0.2385065853595734
4270,0.24336536228656774
5240,0.20878159999847412
5310,0.17091599106788644
5410,0.13387256860733032
5530,0.10503137111663827
5690,0.08402903378009799
5900,0.0636518374085427
6190,0.05074281245470057
6580,0.03824245929718019
7060,0.026274085044860923
7630,0.020735368132591303
8550,0.015644207596778884
9440,0.010577797889709473
10860,0.006194800138473594
12400,0.006415724754333579
14540,0.0028486512601376204
17270,0.0027779042720794817
21220,0.002261307090520921
24540,0.001880925148725572
28590,0.0018443800508976607
33970,0.0016732178628445157
