num_itr,sup_err
80,0.0940170586109162
100,0.08418950438499456
110,0.07845392823219305
130,0.07038648426532751
170,0.059329137206077624
220,0.05592554062604909
300,0.04782615602016454
410,0.04410859942436223
720,0.039936110377311755
960,0.03391730040311818
1440,0.030183300375938464
1990,0.026484295725822497
2840,0.022978357970714618
3720,0.019235596060752917
5440,0.01640610396862035
7100,0.013500019907951404
9350,0.012132264673709918
12940,0.010441422462463427
17510,0.008658081293106128
23570,0.0011654794216156839
30620,0.00512205809354787
41160,0.003210946917533923
54290,0.0031688511371613035
73220,0.00060079246759423
