losses,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006759446696378291,0.00012452129,-0.00034400175,-0.00019573401,-0.00034992787,-0.00033405068,-0.00016888222,-0.00028092822,-0.00032800465,-0.00036589155,-0.00015564496,6.240174e-06,-0.00026713283,3.959549e-06,-0.0002619191,-0.00025819783,3.165572e-05,-0.00013782062,-0.00011932791,-0.00019211113,3.192555e-06,-3.651169e-05,-0.00036590226,-0.00021543948,-0.00036892394,-0.00034577225,-0.00019865192,-0.0002784201,-0.0003107594,-0.00037394086,-0.00019622181,-0.00015255282
0.0013499838532879949,0.00024922524,-0.0006866319,-0.00039087082,-0.0006984316,-0.00066670077,-0.0003369372,-0.0005604003,-0.000654439,-0.000730201,-0.00031048694,1.2836197e-05,-0.000532981,7.996677e-06,-0.00052250724,-0.00051508646,6.333784e-05,-0.00027460186,-0.00023771345,-0.00038312672,6.6104044e-06,-7.241857e-05,-0.000730394,-0.00043029798,-0.0007363801,-0.0006901291,-0.0003966132,-0.00055559434,-0.00062016037,-0.0007463894,-0.00039177522,-0.00030437566
0.0020221294835209846,0.00037411222,-0.0010278996,-0.0005854147,-0.0010455207,-0.0009979594,-0.0005041708,-0.00083842664,-0.0009793134,-0.0010929389,-0.00046453188,1.978553e-05,-0.0007975535,1.211062e-05,-0.0007817736,-0.00077067467,9.504569e-05,-0.00041035094,-0.000355163,-0.0005730543,1.0251748e-05,-0.00010772487,-0.0010934845,-0.0006445799,-0.0011023784,-0.0010330798,-0.00059388916,-0.0008315317,-0.00092821283,-0.0011173561,-0.00058666535,-0.00045547413
0.0026923944242298603,0.00049918226,-0.0013678151,-0.0007793705,-0.0013912055,-0.0013278367,-0.00067058916,-0.0011150164,-0.0013026396,-0.0014541172,-0.00061778515,2.7085694e-05,-0.0010608586,1.6300595e-05,-0.0010397267,-0.0010249708,0.00012677847,-0.00054507446,-0.000471683,-0.000761902,1.4114746e-05,-0.00014243467,-0.0014551845,-0.0008582899,-0.0014669299,-0.0013746344,-0.00079048553,-0.0011062403,-0.0012349256,-0.001486852,-0.0007808977,-0.0006058533
0.0033607897348701954,0.00062443584,-0.0017063869,-0.0009727425,-0.0017354955,-0.0016563421,-0.00083619833,-0.0013901806,-0.0016244284,-0.001813747,-0.00077025313,3.4734156e-05,-0.0013229065,2.056583e-05,-0.0012963766,-0.0012779846,0.00015853567,-0.00067878014,-0.00058727956,-0.00094967743,1.8197561e-05,-0.0001765523,-0.0018155035,-0.0010714321,-0.0018300441,-0.0017148028,-0.000986407,-0.00137973,-0.0015403095,-0.0018548877,-0.00097447715,-0.000755519
0.004027327988296747,0.0007498731,-0.0020436244,-0.0011655346,-0.0020783995,-0.0019834843,-0.0010010037,-0.0016639286,-0.0019446907,-0.0021718382,-0.00092194136,4.2728403e-05,-0.0015837054,2.4905492e-05,-0.0015517324,-0.0015297248,0.00019031641,-0.00081147486,-0.0007019595,-0.0011363877,2.2498303e-05,-0.00021008191,-0.00217445,-0.0012840116,-0.0021917303,-0.0020535938,-0.00118166,-0.0016520089,-0.0018443733,-0.002221473,-0.0011674087,-0.0009044766
0.004692021291702986,0.0008754941,-0.002379539,-0.0013577526,-0.0024199304,-0.0023092749,-0.0011650124,-0.0019362713,-0.0022634373,-0.0025284044,-0.0010728554,5.1066007e-05,-0.0018432655,2.9318833e-05,-0.0018058036,-0.0017802007,0.00022212014,-0.00094316574,-0.000815729,-0.001322042,2.7015129e-05,-0.00024302767,-0.002532037,-0.0014960328,-0.0025520013,-0.0023910194,-0.0013762495,-0.0019230864,-0.0021471265,-0.0025866209,-0.0013596984,-0.001052731
0.005354879889637232,0.0010012984,-0.002714139,-0.0015494002,-0.002760096,-0.0026337227,-0.0013282299,-0.0022072177,-0.0025806807,-0.002883456,-0.0012230019,5.9744372e-05,-0.0021015946,3.3804947e-05,-0.0020585991,-0.0020294213,0.00025394576,-0.0010738596,-0.00092859473,-0.0015066471,3.174603e-05,-0.00027539372,-0.0028882727,-0.0017075001,-0.0029108664,-0.002727088,-0.0015701805,-0.00219297,-0.0024485807,-0.0029503405,-0.0015513508,-0.0012002885
0.006015916354954243,0.0011272868,-0.003047435,-0.0017404822,-0.0030989074,-0.0029568383,-0.0014906626,-0.0024767802,-0.0028964314,-0.003237004,-0.0013723865,6.8761175e-05,-0.0023587048,3.8363054e-05,-0.0023101303,-0.002277397,0.00028579304,-0.0012035643,-0.0010405625,-0.0016902115,3.6689184e-05,-0.00030718424,-0.003243168,-0.0019184176,-0.003268336,-0.0030618105,-0.0017634593,-0.002461671,-0.0027487446,-0.0033126436,-0.0017423715,-0.0013471539
