num_itr,sup_err
1248.0,0.08282136917114258
2250.0,0.05277109146118164
3600.0,0.035399436950683594
5341.0,0.02749395370483354
7424.0,0.019651889801025835
9963.0,0.015247106552124023
12900.0,0.013539314270019531
16214.0,0.010829925537109375
20016.0,0.009692668914794922
24336.0,0.007277965545654297
29008.0,0.006794452667236328
34200.0,0.00635528564453125
39680.0,0.006052732467651367
45951.0,0.0046045780181884766
52488.0,0.004362583160400391
59565.0,0.004137277603149414
67200.0,0.0037364959716796875
74970.0,0.0036072731018066406
83732.0,0.0034241676330566406
93104.0,0.0032532215118408203
