num_itr,sup_err
64.0,0.9243764877319336
100.0,0.7894080877304077
110.0,0.7296124696731567
130.0,0.6287969350814819
192.0,0.5128509998321533
228.0,0.44029033184051514
276.0,0.36172252893447876
378.0,0.294796884059906
448.0,0.24213820695877075
532.0,0.18803781270980835
720.0,0.15169870853424072
864.0,0.11555194854736328
1024.0,0.08052027225494385
1368.0,0.06385183334350586
1638.0,0.04803630709648138
1944.0,0.03344675898551941
2560.0,0.0205658376216889
3040.0,0.02056619524955755
3620.0,0.010036438703537043
4730.0,0.010037928819656428
5632.0,0.005287677049636896
6688.0,0.002782046794891413
8688.0,0.0027684271335601807
10344.0,0.001980006694793701
