num_itr,sup_err,grid_err,delta
24.0,0.04880699515342718,0.02154839038848877,0.015625
40.0,0.019930720329284668,0.008066833019256592,0.011048543456039806
44.0,0.017006635665893555,0.00752180814743042,0.0078125
65.0,0.011225283145904541,0.0015870332717895508,0.005524271728019903
80.0,0.007516980171203613,0.0015870332717895508,0.00390625
95.0,0.005176275968551691,0.0015870332717895508,0.0027621358640099515
138.0,0.004353344440460205,0.002105712890625,0.001953125
162.0,0.003331780433654785,0.0016693472862243652,0.0013810679320049757
192.0,0.002621889114379883,0.001382291316986084,0.0009765625
266.0,0.0012104809284210205,0.00023236870765686035,0.0006905339660024879
315.0,0.0008720755577087402,0.0002323836088180542,0.00048828125
378.0,0.0005871951580048163,0.00023236870765686035,0.00034526698300124393
512.0,0.0005473494529724121,0.0002683401107788086,0.000244140625
608.0,0.0004016757011413574,0.00019443035125732422,0.00017263349150062197
728.0,0.0002765655517578125,0.00014507770538330078,0.0001220703125
972.0,0.00017821788787847348,4.312396049499512e-05,8.631674575031098e-05
1152.0,0.00011616945266729184,4.312396049499512e-05,6.103515625e-05
1368.0,6.741285324102231e-05,4.310905933380127e-05,4.315837287515549e-05
1810.0,6.610155105596371e-05,2.276897430419922e-05,3.0517578125e-05
2150.0,3.3020973205566406e-05,1.93864107131958e-05,2.1579186437577746e-05
2560.0,2.995133399963379e-05,1.940131187438965e-05,1.52587890625e-05
3344.0,2.893805503850766e-05,8.970499038696289e-06,1.0789593218788873e-05
3982.0,8.970499038696289e-06,8.970499038696289e-06,7.62939453125e-06
4741.0,8.970499038696289e-06,8.970499038696289e-06,5.3947966093944364e-06
