num_itr,sup_err
10.0,0.5577737390995026
20.0,0.032922059297561646
30.0,0.004516422748565674
40.0,0.0024101734161376953
50.0,0.0014271140098571777
60.0,0.0007624030113220215
70.0,0.0002613663673400879
80.0,0.00023621320724487305
90.0,0.00016564130783081055
100.0,8.71419906616211e-05
110.0,3.319978713989258e-05
120.0,2.6106834411621094e-05
130.0,1.9490718841552734e-05
140.0,1.9073486328125e-05
150.0,1.5497207641601562e-05
160.0,1.2874603271484375e-05
170.0,1.049041748046875e-05
180.0,9.775161743164062e-06
190.0,5.245208740234375e-06
200.0,3.635883331298828e-06
210.0,2.86102294921875e-06
220.0,1.8477439880371094e-06
230.0,1.2516975402832031e-06
240.0,8.940696716863705e-07
250.0,7.748603820800781e-07
260.0,4.76837158203125e-07
270.0,4.172325134277344e-07
280.0,6.258487701416016e-07
290.0,5.662441253662109e-07
