num_itr,sup_err_5,sup_err_7,sup_err_9
10.0,0.567403107881546,1.2821851074695587,0.7621528506278992
20.0,0.0309499502182006,1.2866181433200836,2.0932967960834503
30.0,0.0122246742248535,0.0564475059509277,0.14752325415611275
40.0,0.004110038280487,0.0225356817245483,0.1849474310874939
50.0,0.0020750164985656,0.0258915424346923,0.24545922875404358
60.0,0.0009251236915588,0.0222916603088378,0.28169503808021545
70.0,0.0012461245059967,0.0064450502395629,0.1042853593826294
80.0,0.0019865930080413,0.004119336605072,0.09814915060997009
90.0,0.000964343547821,0.0030050873756408,0.09452655911445618
100.0,0.0009657144546508,0.0030398368835449,0.0797174870967865
110.0,0.0008968710899353,0.0020621418952941,0.01561155915260315
120.0,0.0007880330085754,0.0020688772201538,0.013402491807937622
130.0,0.0011243671178817,0.0008317828178405,0.013037174940109253
140.0,0.0004829168319702,0.0005491971969604,0.0005724430084228516
150.0,0.0015937685966491,0.0004282593727111,0.00044971704483032227
160.0,0.0016896426677703,0.0003345012664794,0.0003771781921386719
170.0,0.0006467700004577,0.000268816947937,0.0003237724304199219
180.0,0.0008105337619781,0.0002254843711853,0.00029671192169189453
190.0,0.0004789233207702,0.0001900792121887,0.0002378225326538086
200.0,0.000693142414093,0.0001284480094909,0.00017386674880981445
210.0,0.0006054043769836,8.893013000488281e-05,0.000125885009765625
220.0,0.0004423856735229,6.669759750366211e-05,8.553266525268555e-05
230.0,0.0006254613399505,5.245208740234375e-05,6.186962127685547e-05
240.0,0.0006504058837891,3.457069396972656e-05,3.9517879486083984e-05
250.0,0.0008370280265808,2.887845039373227e-05,2.3066997528076172e-05
260.0,0.0008606612682343,2.9146671295166016e-05,1.2576580047607422e-05
270.0,0.0006014704704284,2.9861927032470703e-05,1.2159347534179688e-05
280.0,0.0011374056339263,3.585219383245297e-05,7.62939453125e-06
290.0,0.0006362795829772,3.960728645324707e-05,5.841255187988281e-06
300.0,0.0006616115570068,4.0203332901000977e-05,4.231929779052734e-06
310.0,0.0003932565450668,2.9802322387695312e-05,3.6954879760742188e-06
320.0,0.0009264349937438,3.781914710998535e-05,2.8014183044433594e-06
330.0,0.0011106729507446,2.825260162353516e-05,2.205371856689453e-06
340.0,0.0018365383148193,1.6778707504327972e-05,1.7285346984863281e-06
350.0,0.0021597146987915,1.958012580871582e-05,1.4901161193847656e-06
360.0,0.0026203095912933,1.6897916793823242e-05,1.4305114746648862e-06
370.0,0.0030155181884765,2.7567148208618164e-05,1.519918441827972e-06
380.0,0.0017847120761871,5.456805229187012e-05,1.2814998626708984e-06
390.0,0.00071981549263,2.190470695495605e-05,1.1324882507324219e-06
400.0,0.0007772743701934,3.463029861450195e-05,1.1622905731201172e-06
410.0,0.0010712146759033,5.2034854888916016e-05,1.2814998626708984e-06
420.0,0.001855731010437,5.492568016052246e-05,1.3709068298339844e-06
430.0,0.0022491812705993,6.303191184997559e-05,1.5497207641601562e-06
440.0,0.0022125244140625,6.42538070678711e-05,1.6093254089355469e-06
450.0,0.0027272999286651,7.584691047668457e-05,1.6391277313232422e-06
460.0,0.0026308000087738,8.702278137207031e-05,1.7583370208740234e-06
470.0,0.0031635463237762,9.28342342376709e-05,1.9669532775878906e-06
480.0,0.0021365284919738,0.0001126229763031,2.086162567138672e-06
490.0,0.0009531080722808,0.0001048743724822,2.6226043701171875e-06
500.0,0.0013038516044616,0.0001179873943328,2.8014183044433594e-06
510.0,0.0016461610794067,0.000126838684082,2.9802322387695312e-06
520.0,0.0005041062831878,3.2007694244384766e-05,1.2516975402832031e-06
530.0,0.0007621049880981,3.62694263458252e-05,1.3113021850585938e-06
540.0,0.0007127821445465,4.631280899047852e-05,1.4007091522216797e-06
550.0,0.0014301836490631,5.97536563873291e-05,1.6391277313232422e-06
560.0,0.0010596513748168,7.396936416625977e-05,1.817941665649414e-06
