num_itr,sup_err_5,sup_err_7,sup_err_9
10.0,0.5585943162441254,1.2841247618198397,0.753617525100708
20.0,0.0347013473510742,1.3033036291599274,2.1965380012989044
30.0,0.011900246143341,0.0693449974060058,0.24026355147361755
40.0,0.0030418038368225,0.0249440670013427,0.30832675099372864
50.0,0.0015252232551574,0.0302164256572723,0.3962489664554596
60.0,0.0007464289665222,0.0255026221275329,0.4513584077358246
70.0,0.0013226270675659,0.0048516988754272,0.1316911280155182
80.0,0.0021787583827972,0.0028880834579467,0.1213138997554779
90.0,0.0009255707263946,0.0019719004631042,0.115213543176651
100.0,0.0010379552841186,0.0019996166229248,0.09316906332969666
110.0,0.0021201074123383,0.001253068447113,0.007858306169509888
120.0,0.001193344593048,0.0012537240982055,0.006536900997161865
130.0,0.0017186999320983,0.0004085302352905,0.006356865167617798
140.0,0.0006441920995712,0.0002447962760925,0.0002263784408569336
150.0,0.0013598799705505,0.0001832246780395,0.0001596212387084961
160.0,0.0015298426151275,0.00013267993927,0.00013011693954467773
170.0,0.0013155937194824,0.0001139044761657,0.00011116266250610352
180.0,0.0010090172290802,9.79304313659668e-05,0.00010323524475097656
190.0,0.0007120370864868,6.669759750366211e-05,7.385015487670898e-05
200.0,0.0010303854942321,4.2557716369628906e-05,5.036592483520508e-05
210.0,0.000485360622406,4.550814628601074e-05,3.3736228942871094e-05
220.0,0.0003057122230529,6.154179573059082e-05,1.9550323486328125e-05
230.0,0.0008675754070281,3.826618194585629e-05,1.2695789337158203e-05
240.0,0.000596284866333,2.3573637008666992e-05,1.0401010513305664e-05
250.0,0.0007773041725159,3.1441450119018555e-05,1.0848045349121094e-05
260.0,0.000762939453125,3.1322240829467773e-05,1.1682510375976562e-05
270.0,0.0009518861770629,2.819299697875977e-05,1.0907649993896484e-05
280.0,0.0022249221801757,4.32133674621582e-05,1.2099742889404297e-05
290.0,0.0023156702518463,4.628300666809082e-05,2.2411346435546875e-05
300.0,0.0009286403656005,4.729628562927246e-05,1.4409422874450684e-05
310.0,0.0008777678012847,2.866983413696289e-05,9.492039680480957e-06
320.0,0.0013321936130523,4.06801700592041e-05,5.950033664703369e-05
330.0,0.0014599561691284,2.679228782653809e-05,5.397200584411621e-05
340.0,0.0026501417160034,1.4126300811767578e-05,4.398822784423828e-05
350.0,0.003022015094757,2.1398067474365234e-05,4.175305366516113e-05
360.0,0.0035941004753112,1.984834671020508e-05,4.035234451293945e-05
370.0,0.00403693318367,3.796815872192383e-05,3.68654727935791e-05
380.0,0.0014286637306213,7.924437522888184e-05,3.382563591003418e-05
390.0,0.0012416541576385,3.6582350730896e-05,3.293156623840332e-05
400.0,0.0007078945636749,2.810359001159668e-05,6.273388862609863e-06
410.0,0.0012663006782531,5.301833152770996e-05,2.4437904357910156e-06
420.0,0.0028087496757507,5.394220352172852e-05,2.2351741790771484e-06
430.0,0.0034715831279754,6.4849853515625e-05,2.086162567138672e-06
440.0,0.002899557352066,6.35385513305664e-05,1.5497207641601562e-06
450.0,0.0033782720565795,8.744001388549805e-05,1.7881393432617188e-06
460.0,0.0031322836875915,0.0001019537448883,1.9669532775878906e-06
470.0,0.0039165616035461,0.0001091957092285,2.205371856689453e-06
480.0,0.001678854227066,0.0001342296600341,2.5033950805664062e-06
490.0,0.0004509389400482,0.0001114010810852,3.516674041748047e-06
500.0,0.0010406076908111,0.0001285672187805,3.7848949432373047e-06
510.0,0.00196373462677,0.0001446306705474,3.993511199951172e-06
520.0,0.0007303804159164,2.244114875793457e-05,9.5367431640625e-07
530.0,0.001464307308197,2.8789043426513672e-05,1.043081283569336e-06
540.0,0.0009185671806335,4.604458808898926e-05,1.3709068298339844e-06
550.0,0.0018264651298522,6.92605972290039e-05,1.7285346984863281e-06
560.0,0.0010820925235748,8.499622344970703e-05,2.086162567138672e-06
570.0,0.0013441890478134,4.506111145019531e-05,1.4901161193847656e-06
580.0,0.0011813640594482,5.7578086853027344e-05,1.817941665649414e-06
590.0,0.0012630522251129,7.063150405883789e-05,2.0265579223632812e-06
600.0,0.0014226138591766,8.341670036315918e-05,2.384185791015625e-06
610.0,0.0004938840866088,3.841519355773926e-05,1.0132789611816406e-06
620.0,0.0004135966300964,3.2454729080200195e-05,1.0132789611816406e-06
630.0,0.0005142092704773,2.9146671295166016e-05,1.1026859283447266e-06
640.0,0.0007057785987854,4.273653030395508e-05,1.2516975402832031e-06
650.0,0.0008087158203125,4.544854164123535e-05,1.4603137969970703e-06
660.0,0.0005468726158142,5.957484245300293e-05,1.5497207641601562e-06
670.0,0.0009751319885253,7.2479248046875e-05,1.8775463104248047e-06
680.0,0.0018648505210876,7.736682891845703e-05,2.5033950805664062e-06
690.0,0.0015117228031158,0.0001107454299926,2.7120113372802734e-06
700.0,0.0022649466991424,0.0001090168952941,2.8908252716064453e-06
710.0,0.0015035569667816,0.0001330971717834,3.3080577850341797e-06
720.0,0.002450406551361,0.0001271963119506,4.1425228118896484e-06
730.0,0.0030242800712585,0.0001567006111145,4.887580871582031e-06
740.0,0.0032154023647308,0.0001574158668518,5.543231964111328e-06
750.0,0.0032852292060852,0.0001691579818725,5.245208740234375e-06
760.0,0.0035165548324584,0.0001913011074066,5.4836273193359375e-06
770.0,0.0026236772537231,0.0001830458641052,4.887580871582031e-06
780.0,0.0019203126430511,0.0001547038555145,4.9173831939697266e-06
790.0,0.0013121962547302,0.000168889760971,5.364418029785156e-06
800.0,0.001553326845169,0.0001695156097412,5.990266799926758e-06
810.0,0.0018294751644134,0.0001970529556274,6.496906280517578e-06
820.0,0.0021401047706604,0.0002144277095794,6.556510925292969e-06
830.0,0.0028871893882751,0.0002249181270599,6.765127182006836e-06
840.0,0.000633031129837,0.0001188814640045,6.645917892456055e-06
850.0,0.0007423460483551,3.737211227422543e-05,5.0961971282958984e-06
860.0,0.0007182657718659,4.315376281738281e-05,3.337860107421875e-06
870.0,0.0005786716938018,3.0100345611627777e-05,1.245737075805664e-05
880.0,0.0011980235576629,2.7358531951904297e-05,1.1965632438659668e-05
890.0,0.0009270310401916,3.221631050109863e-05,2.2798776626586914e-06
900.0,0.0005042552947998,1.6987323760986328e-05,1.7881393432617188e-06
910.0,0.0013395845890045,4.434585571289063e-05,1.761317253112793e-05
920.0,0.002807080745697,5.125999450683594e-05,1.284480094909668e-05
930.0,0.0016690194606781,6.139278411865234e-05,1.1026859283447266e-05
940.0,0.0005446374416351,5.346536636352539e-05,1.0073184967041016e-05
950.0,0.001002162694931,5.906820297241211e-05,9.08970832824707e-06
960.0,0.0016320347785949,7.170438766479492e-05,8.940696716308594e-06
970.0,0.0025342404842376,9.307265281677246e-05,7.167458534240723e-06
980.0,0.0009483695030212,5.042552947998047e-05,6.8247318267822266e-06
990.0,0.0011607110500335,8.434057235717773e-05,5.140900611877441e-06
1000.0,0.0020730197429656,0.0001060962677001,4.976987838745117e-06
1010.0,0.0007067024707794,6.568431854248047e-05,4.976987838745117e-06
1020.0,0.0012686252593994,6.780028343200684e-05,4.9620866775512695e-06
1030.0,0.0011133551597595,8.365511894226074e-05,5.4836273193359375e-06
1040.0,0.0026845037937164,8.761882781982422e-05,3.337860107421875e-06
1050.0,0.001181274652481,1.9103288650568206e-05,5.960464477539062e-07
1060.0,0.0008150041103363,3.0875205993652344e-05,5.960464478094174e-07
1070.0,0.0010313689708709,2.181529998779297e-05,8.195638656616211e-07
1080.0,0.0009931623935699,2.2083520889282227e-05,5.960464477539062e-07
1090.0,0.0006304085254669,6.750226020812988e-05,8.344650268554688e-07
1100.0,0.0013275742530822,5.692243576049805e-05,1.3113021850585938e-06
1110.0,0.002058207988739,7.155537605285645e-05,1.519918441772461e-06
1120.0,0.0026326775550842,9.375810623168944e-05,2.086162567138672e-06
1130.0,0.0005577802658081,2.288818359375e-05,1.1026859283447266e-06
1140.0,0.0005105733871459,3.403425216674805e-05,1.4901161193847656e-06
1150.0,0.0004845261573791,5.036592483520508e-05,1.9371509552001953e-06
1160.0,0.0006026923656463,4.8279762268066406e-05,1.3709068298339844e-06
1170.0,0.0010998249053955,6.887316703796387e-05,1.5497207641601562e-06
1180.0,0.0011399984359741,0.0001097917556762,1.4007091522216797e-06
1190.0,0.0020298957824707,0.0001274943351745,1.6391277313232422e-06
1200.0,0.002873957157135,0.0001235902309417,1.996755599975586e-06
1210.0,0.0011268556118011,9.700655937194824e-05,2.1457672119140625e-06
1220.0,0.0022623538970947,0.0001151263713836,2.9206275939941406e-06
1230.0,0.0010782480239868,5.805492401128598e-05,7.569789886474609e-06
1240.0,0.0008521080017089,1.6987323760986328e-05,4.5299530029296875e-06
1250.0,0.0010353624820709,1.6182661056518555e-05,3.427267074584961e-06
1260.0,0.0010403990745544,3.659725189208984e-05,2.682209014892578e-06
1270.0,0.0014997124671936,6.523728370666504e-05,1.519918441772461e-06
1280.0,0.0010034441947937,8.189678192138672e-05,1.2218952178955078e-06
1290.0,0.0013609826564788,9.757280349731444e-05,7.450580596923828e-07
1300.0,0.0006160140037536,2.050399780273437e-05,5.364418029785156e-07
1310.0,0.0014010667800903,3.24249267578125e-05,9.238719940185547e-07
1320.0,0.0020409524440765,3.62694263458252e-05,9.238719940185547e-07
1330.0,0.0007832646369934,3.331899642944336e-05,1.5497207641601562e-06
