num_itr,sup_err
24.0,0.04880699515342718
40.0,0.019930779933929443
44.0,0.017006635665893555
65.0,0.011225283145904541
80.0,0.007516980171203613
95.0,0.005176275968551691
138.0,0.0043534040451049805
162.0,0.003331899642944336
192.0,0.002621889114379883
266.0,0.0012104511260986328
315.0,0.0008720755577087402
378.0,0.0005871951580048163
512.0,0.0005473494529724121
608.0,0.0004016757011413574
728.0,0.0002766251564025879
972.0,0.00017821788787847348
1152.0,0.00011616945266729184
1368.0,6.741285324102231e-05
1810.0,6.610155105596371e-05
2150.0,3.3020973205566406e-05
2560.0,2.995133399963379e-05
3344.0,2.8967857360895355e-05
3982.0,8.985400199890137e-06
4741.0,8.985400199890137e-06
