err_5,lambdas,err_7,err_9
0.0004937350749969,1.0,1.576542854309082e-05,6.556510925292969e-07
0.0004726499319076,0.9990224828934506,1.4230608940152267e-05,5.066394806185759e-07
0.0004522502422332,0.9980449657869012,1.2800097465515137e-05,4.76837158203125e-07
0.0004324615001678,0.997067448680352,1.1444091796875e-05,3.5762786865234375e-07
0.0004133284091949,0.9960899315738024,1.0222196578979492e-05,3.2782554626464844e-07
0.000394806265831,0.9951124144672532,9.059906005914886e-06,2.6822090154476896e-07
0.0003769397735595,0.9941348973607038,8.061528205871582e-06,2.682209014892578e-07
0.0003595948219299,0.9931573802541545,7.078051567133148e-06,2.0861625676937834e-07
0.0003428161144256,0.9921798631476052,6.198883056640625e-06,1.9371509552001953e-07
0.0003266632556915,0.9912023460410556,5.364418029812912e-06,1.4901161196623214e-07
0.000311017036438,0.9902248289345064,4.678964614923675e-06,1.192092896062924e-07
0.0002959072589874,0.989247311827957,4.008412361200531e-06,1.0430812841244474e-07
0.0002813339233398,0.9882697947214076,3.412365913418869e-06,8.940696719084151e-08
0.0002672672271729,0.9872922776148584,2.890825271689712e-06,8.940696724635266e-08
0.0002537220716476,0.9863147605083088,2.399086952264984e-06,4.470348363705412e-08
0.0002407133579254,0.9853372434017597,2.026557922363281e-06,8.940696716308594e-08
0.0002280920743942,0.9843597262952102,1.6242265701293943e-06,5.960464477539063e-08
0.0002159476280212,0.9833822091886608,1.2516975402832031e-06,2.9802322387695312e-08
0.0002042651176453,0.9824046920821116,1.0132789612371518e-06,5.551115123125783e-17
0.0001930445432663,0.981427174975562,7.748603821078337e-07,2.7755575615628914e-17
0.0001822710037231,0.9804496578690128,5.811452865878142e-07,4.4703483609298544e-08
0.0001718997955322,0.9794721407624634,3.874301910955502e-07,5.551115123125783e-17
0.0001619458198547,0.978494623655914,2.980232239324643e-07,2.9802322443206464e-08
0.0001523941755295,0.9775171065493646,1.6391277321559097e-07,-1.490116111058093e-08
0.0001432597637176,0.9765395894428152,1.4901161193847656e-07,4.470348358154297e-08
0.0001344680786132,0.975562072336266,8.940696716308595e-08,0.0
0.0001260638236999,0.9745845552297164,7.450580596923828e-08,1.4901161193847656e-08
0.0001180171966553,0.9736070381231672,8.94069672185971e-08,5.551115123125783e-17
0.000110387802124,0.9726295210166178,1.4901161193847656e-07,5.960464477539063e-08
0.0001029670238495,0.9716520039100685,1.6391277321559097e-07,1.4901161277114383e-08
9.597837924962828e-05,0.9706744868035192,2.980232239324643e-07,5.960464483090178e-08
8.928775787359067e-05,0.9696969696969696,3.4272670751400724e-07,5.551115123125783e-17
8.295476436617766e-05,0.9687194525904204,4.768371582308806e-07,2.980232241545089e-08
7.688999176028166e-05,0.967741935483871,5.662441253939665e-07,4.4703483609298544e-08
