losses,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45
0.33626291155815125,-0.172132670879364,0.18105661869049072,0.23583181202411652,-0.03078770637512207,0.16390059888362885,0.06647782027721405,0.11050941050052643,-0.014508632943034172,0.17775872349739075,0.04003963991999626,0.21105948090553284,0.11666890233755112,0.29141032695770264,-0.01916918158531189,0.16131970286369324,-0.01980341598391533,-0.01916918158531189,0.06647782027721405,-0.01895058900117874,0.011185547336935997,-0.039477281272411346,0.0012534628622233868,0.24223478138446808,0.1623888462781906,0.04003963991999626,0.03925507515668869,-0.0009207578841596842,-0.029063371941447258,0.00734257698059082,0.007514774799346924,0.007514774799346924,-0.006594016682356596,-0.009414373897016048,0.007624449208378792,0.010948156006634235,-0.015516194514930248,0.02541918307542801,-0.019639253616333008,-0.009414373897016048,0.007624449208378792,0.010948156006634235,-0.015516194514930248,0.02541918307542801,-0.11292774975299835,-0.06689652055501938,-0.011947663500905037
0.33719223737716675,-0.17080269753932953,0.18097098171710968,0.2358284294605255,-0.03080781176686287,0.1638479381799698,0.0660024881362915,0.11018311232328415,-0.014786254614591599,0.17797143757343292,0.03982744738459587,0.2110663801431656,0.11624510586261749,0.29159224033355713,-0.0191202275454998,0.1607886254787445,-0.01961180940270424,-0.0191202275454998,0.0660024881362915,-0.01892208121716976,0.011260226368904114,-0.03951236978173256,0.0012617812026292086,0.24209436774253845,0.16251452267169952,0.03982744738459587,0.038750045001506805,-0.0008796395268291235,-0.029085569083690643,0.007389893755316734,0.007350091822445393,0.007350091822445393,-0.00647044787183404,-0.009442690759897232,0.007674054242670536,0.011019539088010788,-0.015420795418322086,0.02568696439266205,-0.0200986098498106,-0.009442690759897232,0.007674054242670536,0.011019539088010788,-0.015420795418322086,0.02568696439266205,-0.11272817850112915,-0.06655687838792801,-0.011616267263889313
0.3381189703941345,-0.16947531700134277,0.18088485300540924,0.23582422733306885,-0.030827464535832405,0.16379478573799133,0.06552845984697342,0.10985814034938812,-0.015063337981700897,0.1781834363937378,0.03961559012532234,0.21107247471809387,0.11582310497760773,0.29177290201187134,-0.019071314483880997,0.1602589637041092,-0.019421599805355072,-0.019071314483880997,0.06552845984697342,-0.018893491476774216,0.011334743350744247,-0.039547525346279144,0.0012700798688456416,0.2419540286064148,0.16263964772224426,0.03961559012532234,0.03824646770954132,-0.0008387628477066755,-0.029107745736837387,0.007437090389430523,0.007186011411249638,0.007186011411249638,-0.006347242277115583,-0.00947097223252058,0.007723537273705006,0.01109074056148529,-0.015325685031712055,0.025953881442546844,-0.020556511357426643,-0.00947097223252058,0.007723537273705006,0.01109074056148529,-0.015325685031712055,0.025953881442546844,-0.11252857744693756,-0.06621779501438141,-0.011285489425063133
0.3390432894229889,-0.168150395154953,0.1807982474565506,0.23581914603710175,-0.030846688896417618,0.16374115645885468,0.06505575776100159,0.10953452438116074,-0.01533981878310442,0.1783946305513382,0.03940419480204582,0.21107783913612366,0.1154029592871666,0.2919521927833557,-0.019022434949874878,0.15973100066184998,-0.01923288032412529,-0.019022434949874878,0.06505575776100159,-0.018864821642637253,0.011409099213778973,-0.039582736790180206,0.0012783590937033296,0.24181386828422546,0.16276416182518005,0.03940419480204582,0.037744294852018356,-0.000798127381131053,-0.02912989631295204,0.007484164088964462,0.007022486068308353,0.007022486068308353,-0.00622436823323369,-0.009499217383563519,0.00777290016412735,0.011161765083670616,-0.015230855904519558,0.026219967752695084,-0.021013006567955017,-0.009499217383563519,0.00777290016412735,0.011161765083670616,-0.015230855904519558,0.026219967752695084,-0.1123289093375206,-0.065879225730896,-0.010955272242426872
0.33996501564979553,-0.1668280065059662,0.18071119487285614,0.23581326007843018,-0.030865468084812164,0.16368705034255981,0.0645843893289566,0.10921221971511841,-0.01561574824154377,0.17860504984855652,0.03919317200779915,0.21108245849609375,0.11498446762561798,0.2921302616596222,-0.01897360198199749,0.159204363822937,-0.01904560998082161,-0.01897360198199749,0.0645843893289566,-0.018836069852113724,0.011483291164040565,-0.03961802273988724,0.0012866186443716288,0.2416738122701645,0.16288816928863525,0.03919317200779915,0.037243492901325226,-0.0007577321957796812,-0.029152031987905502,0.0075311195105314255,0.006859570741653442,0.006859570741653442,-0.006101842503994703,-0.009527426213026047,0.00782214105129242,0.011232608929276466,-0.015136315487325191,0.02648518979549408,-0.0214681476354599,-0.009527426213026047,0.00782214105129242,0.011232608929276466,-0.015136315487325191,0.02648518979549408,-0.11212919652462006,-0.06554121524095535,-0.0106256864964962
0.3408842980861664,-0.16550806164741516,0.1806236356496811,0.23580650985240936,-0.03088381513953209,0.16363242268562317,0.06411433964967728,0.10889121890068054,-0.015891097486019135,0.17881467938423157,0.03898251801729202,0.21108625829219818,0.11456778645515442,0.2923070192337036,-0.01892479695379734,0.15867936611175537,-0.01885976269841194,-0.01892479695379734,0.06411433964967728,-0.018807239830493927,0.011557324789464474,-0.03965335339307785,0.0012948587536811829,0.24153390526771545,0.16301164031028748,0.03898251801729202,0.036744166165590286,-0.0007175735663622618,-0.029174143448472023,0.007577955722808838,0.006697230972349644,0.006697230972349644,-0.0059796585701406,-0.009555598720908165,0.007871264591813087,0.01130327582359314,-0.015042051672935486,0.02674955315887928,-0.021921813488006592,-0.009555598720908165,0.007871264591813087,0.01130327582359314,-0.015042051672935486,0.02674955315887928,-0.11192946135997772,-0.06520375609397888,-0.010296668857336044
0.34180116653442383,-0.1641906201839447,0.18053562939167023,0.2357989251613617,-0.03090173937380314,0.1635773479938507,0.06364557147026062,0.10857154428958893,-0.016165841370821,0.17902357876300812,0.038772307336330414,0.21108943223953247,0.11415289342403412,0.2924824357032776,-0.018876027315855026,0.15815569460391998,-0.018675386905670166,-0.018876027315855026,0.06364557147026062,-0.018778333440423012,0.011631197296082973,-0.039688754826784134,0.00130307930521667,0.24139411747455597,0.16313455998897552,0.038772307336330414,0.03624608740210533,-0.0006776552181690931,-0.029196232557296753,0.007624671794474125,0.006535464897751808,0.006535464897751808,-0.005857808981090784,-0.009583733975887299,0.007920267060399055,0.011373762972652912,-0.014948077499866486,0.02701309695839882,-0.022374145686626434,-0.009583733975887299,0.007920267060399055,0.011373762972652912,-0.014948077499866486,0.02701309695839882,-0.11172966659069061,-0.0648668110370636,-0.009968243539333344
0.34271544218063354,-0.16287559270858765,0.18044720590114594,0.23579056560993195,-0.030919231474399567,0.16352182626724243,0.06317812949419022,0.1082531213760376,-0.01644003763794899,0.17923171818256378,0.038562431931495667,0.2110918015241623,0.11373966932296753,0.2926566004753113,-0.018827291205525398,0.15763363242149353,-0.018492449074983597,-0.018827291205525398,0.06317812949419022,-0.01874934323132038,0.011704908683896065,-0.039724208414554596,0.001311280531808734,0.24125444889068604,0.16325686872005463,0.038562431931495667,0.035749513655900955,-0.0006379669066518545,-0.029218293726444244,0.007671269588172436,0.006374254822731018,0.006374254822731018,-0.005736288148909807,-0.009611831046640873,0.007969148457050323,0.011444071307778358,-0.014854377135634422,0.027275793254375458,-0.022825058549642563,-0.009611831046640873,0.007969148457050323,0.011444071307778358,-0.014854377135634422,0.027275793254375458,-0.11152980476617813,-0.06453043222427368,-0.009640421718358994
0.34362730383872986,-0.16156306862831116,0.18035829067230225,0.23578131198883057,-0.030936304479837418,0.16346579790115356,0.06271190941333771,0.10793603956699371,-0.01671362854540348,0.17943905293941498,0.03835297375917435,0.2110934555530548,0.11332815885543823,0.2928295135498047,-0.018778588622808456,0.1571130007505417,-0.018310818821191788,-0.018778588622808456,0.06271190941333771,-0.01872028037905693,0.011778458952903748,-0.039759714156389236,0.0013194624334573746,0.24111498892307281,0.16337862610816956,0.03835297375917435,0.035254254937171936,-0.0005985128227621317,-0.029240328818559647,0.007717747241258621,0.006213625892996788,0.006213625892996788,-0.005615109112113714,-0.009639889001846313,0.00801791064441204,0.011514203622937202,-0.014760949648916721,0.027537638321518898,-0.023274581879377365,-0.009639889001846313,0.00801791064441204,0.011514203622937202,-0.014760949648916721,0.027537638321518898,-0.11132990568876266,-0.06419456005096436,-0.009313130751252174
0.34453675150871277,-0.16025295853614807,0.18026894330978394,0.2357712686061859,-0.030952943488955498,0.1634092926979065,0.06224706396460533,0.10762020945549011,-0.016986703500151634,0.1796455979347229,0.03814392164349556,0.21109440922737122,0.112918421626091,0.29300108551979065,-0.0187299195677042,0.15659385919570923,-0.01813066378235817,-0.0187299195677042,0.06224706396460533,-0.018691131845116615,0.011851849034428596,-0.03979528695344925,0.0013276244280859828,0.2409755438566208,0.16349992156028748,0.03814392164349556,0.03476042300462723,-0.0005592892412096262,-0.02926233410835266,0.0077641066163778305,0.006053554825484753,0.006053554825484753,-0.005494259763509035,-0.009667908772826195,0.008066555485129356,0.01158415898680687,-0.01466780249029398,0.02779865637421608,-0.023722706362605095,-0.009667908772826195,0.008066555485129356,0.01158415898680687,-0.01466780249029398,0.02779865637421608,-0.11112996935844421,-0.06385926157236099,-0.008986445143818855
