num_itr,sup_err
10.0,0.5590937435626984
20.0,0.04536403715610504
30.0,0.035643696784973145
40.0,0.011603817343711853
50.0,0.019799157977104187
60.0,0.013180166482925415
70.0,0.00519832968711853
80.0,0.0018198788166046143
90.0,0.0014429986476898193
100.0,0.001395195722579956
110.0,0.001416623592376709
120.0,0.0014365613460540771
130.0,0.0012440979480743408
140.0,0.0012400448322296143
150.0,0.0013317465782165527
160.0,0.0012659430503845215
170.0,0.000523298978805542
180.0,0.0006547272205352783
190.0,0.0005440711975097656
200.0,0.0003825724124908447
210.0,0.0003994554281234741
220.0,0.0002291947603225708
230.0,0.0002872943878173828
240.0,0.00014442205429077148
250.0,0.00018107891082763672
260.0,0.00014819204807281494
270.0,0.00011679530143737793
280.0,0.00011077523231506348
290.0,0.00012195110321044922
300.0,0.00012701749801635742
310.0,0.00012612342834472656
320.0,0.0001316070556640625
330.0,3.8564205169677734e-05
340.0,2.053380012512207e-05
350.0,2.6702880859375e-05
360.0,2.7492642402648926e-05
370.0,3.24249267578125e-05
380.0,3.1620264053344727e-05
390.0,3.097951412200928e-05
400.0,3.075599670410156e-05
410.0,3.154575824737549e-05
420.0,3.390014171600342e-05
430.0,3.160536289215088e-05
440.0,3.11732292175293e-05
450.0,3.1560659408569336e-05
460.0,3.3214688301086426e-05
470.0,2.5823712348937988e-05
480.0,9.864568710327148e-06
490.0,1.4379620552062988e-05
500.0,1.519918441772461e-05
510.0,1.5407800674438477e-05
520.0,8.448958396911621e-06
530.0,8.761882781982422e-06
540.0,8.657574653625488e-06
550.0,6.109476089477539e-06
560.0,7.703900337219238e-06
570.0,6.9141387939453125e-06
580.0,8.13603401184082e-06
590.0,8.106231689453125e-06
600.0,8.255243301391602e-06
610.0,8.13603401184082e-06
620.0,7.599592208862305e-06
630.0,8.374452590942383e-06
640.0,7.838010787963867e-06
650.0,7.838010787963867e-06
660.0,7.808208465576172e-06
670.0,8.255243301391602e-06
680.0,8.374452590942383e-06
690.0,6.854534149169922e-06
700.0,5.0961971282958984e-06
710.0,4.976987838745117e-06
720.0,5.036592483520508e-06
730.0,4.976987838745117e-06
740.0,4.976987838745117e-06
750.0,5.200505256652832e-06
760.0,5.230307579040527e-06
770.0,5.125999450683594e-06
780.0,5.0514936447143555e-06
790.0,5.260109901428223e-06
800.0,5.185604095458984e-06
810.0,5.066394805908203e-06
820.0,5.319714546203613e-06
830.0,5.424022674560547e-06
840.0,4.351139068603516e-06
850.0,4.500150680541992e-06
860.0,4.5746564865112305e-06
870.0,2.7120113372802734e-06
880.0,3.0994415283203125e-06
890.0,1.1324882507324219e-06
900.0,9.238719940185547e-07
910.0,5.513429641723633e-07
920.0,5.960464477539062e-07
930.0,3.8743019104003906e-07
940.0,4.470348358154297e-07
950.0,5.364418029785156e-07
960.0,4.76837158203125e-07
970.0,4.76837158203125e-07
980.0,5.364418029785156e-07
990.0,4.917383193969727e-07
1000.0,5.662441253662109e-07
1010.0,5.364418029785156e-07
1020.0,3.8743019104003906e-07
1030.0,3.8743019104003906e-07
1040.0,3.8743019104003906e-07
1050.0,3.8743019104003906e-07
1060.0,4.172325134277344e-07
1070.0,3.2782554626464844e-07
1080.0,3.2782554626464844e-07
1090.0,3.725290298461914e-07
1100.0,3.427267074584961e-07
1110.0,3.5762786865234375e-07
